Linha	Total	Média dos dias úteis	Média dos Sábados	Média dos Domingos	Máxima Diária	Mês
4	6746,0	255,0	149,0	71,0	276,0	2020-07
4	7324,0	290,0	168,0	81,0	312,0	2020-08
4	7980,0	320,0	193,0	95,0	338,0	2020-09
4	8892,0	347,0	208,0	107,0	368,0	2020-10
4	8976,0	365,0	234,0	122,0	385,0	2020-11
4	8785,0	337,0	213,0	114,0	392,0	2020-12
4	8042,0	341,0	172,0	101,0	365,0	2021-01
4	8395,0	360,0	206,0	110,0	375,0	2021-02
4	7060,0	288,0	135,0	69,0	373,0	2021-03
4	6530,0	276,0	141,0	77,0	317,0	2021-04
4	8284,0	324,0	193,0	103,0	346,0	2021-05
4	8721,0	336,0	216,0	114,0	357,0	2021-06
4	9139,0	350,0	222,0	119,0	373,0	2021-07
4	10049,0	386,0	231,0	129,0	405,0	2021-08
4	10409,0	409,0	252,0	149,0	431,0	2021-09
4	10956,07	434,81	272,26	146,87	478,42	2021-10
4	11712,12	469,24	300,21	188,66	497,47	2021-11
4	11566,89	423,65	272,63	183,1	514,81	2021-12
4	9745,14	381,81	209,48	135,96	420,11	2022-01
4	10885,0	450,0	289,0	180,0	486,0	2022-02
4	13697,0	523,0	322,0	172,0	575,0	2022-03
4	13019,0	550,0	299,0	165,0	591,0	2022-04
4	14873,24	569,18	337,49	200,28	606,09	2022-05
4	14239,84	559,54	322,67	223,49	587,65	2022-06
4	14178,13	548,41	328,38	203,91	586,31	2022-07
4	15871,08	599,54	327,55	192,89	640,13	2022-08
4	15427,31	619,43	341,23	205,33	653,67	2022-09
4	15642,63	626,43	350,85	224,48	660,21	2022-10
4	14955,05	613,22	357,0	205,72	659,99	2022-11
4	14236,08	544,98	299,08	187,76	693,28	2022-12
4	13605,41	530,98	311,82	186,86	594,24	2023-01
4	13777,19	580,3	387,56	224,68	639,51	2023-02
4	17370,64	649,07	389,01	221,48	711,99	2023-03
4	15070,57	661,45	338,3	201,58	701,71	2023-04
4	17186,23	661,45	383,42	222,49	682,41	2023-05
4	16029,96	619,78	361,31	237,37	707,89	2023-06
4	15459,79	600,39	353,48	216,82	656,52	2023-07
4	17702,89	670,46	363,29	207,28	733,58	2023-08
4	16572,57	672,42	372,83	247,93	709,14	2023-09
4	16172,6	644,25	358,94	194,46	713,7	2023-10
4	16110,49	677,44	371,66	239,77	744,08	2023-11
5	5499,0	218,0	136,0	65,0	236,0	2017-01
5	5681,0	253,0	152,0	73,0	261,0	2017-02
5	6758,0	264,0	153,0	61,0	273,0	2017-03
5	5787,0	264,0	145,0	73,0	276,0	2017-04
5	6417,0	251,0	150,0	64,0	260,0	2017-05
5	6154,0	249,0	150,0	75,0	265,0	2017-06
5	5820,0	228,0	145,0	62,0	242,0	2017-07
5	6652,0	253,0	147,0	62,0	262,0	2017-08
5	6246,0	260,0	148,0	67,0	274,0	2017-09
5	6427,0	264,0	149,0	57,0	280,0	2017-10
5	6348,0	274,0	155,0	77,0	285,0	2017-11
5	6541,0	264,0	167,0	88,0	290,0	2017-12
5	5522,0	226,0	139,0	55,0	249,0	2018-01
5	5937,0	269,0	161,0	72,0	288,0	2018-02
5	7331,0	295,0	160,0	64,0	305,0	2018-03
5	7640,0	319,0	170,0	76,0	331,0	2018-04
5	8106,0	322,0	184,0	95,0	335,0	2018-05
5	7401,0	305,0	172,0	69,0	327,0	2018-06
5	6983,0	278,0	171,0	88,0	284,0	2018-07
